program, symb_program
_, ERROR(Invalid Character)
p_, identifier
;, simb_semicolon
var, simb_var
x, identifier
@, ERROR(Invalid Character)
?, ERROR(Invalid Character)
integer, symb_tipo
;, simb_semicolon
begin, symb_begin
3333%, ERROR(Badly Formed Number)
333, num_int
x, identifier
:=, simb_atribution
-1, num_int
;, simb_semicolon
while, symb_while
(, open_parentheses
x, identifier
<, op_lesser
3, num_int
), close_parentheses
do, symb_do
x, identifier
:=, simb_atribution
x, identifier
+, op_plus
1, num_int
;, simb_semicolon
{lorenipsunlorenipsun, ERROR(Unclosed Comment)
EOF, Dread it, run from it, EOF arrives all the same.
