program, symb_program
p, identifier
;, simb_semi_colon
var, simb_var
x, identifier
@, ERROR(Invalid Character)
?, ERROR(Invalid Character)
integer, symb_tipo
;, simb_semi_colon
begin, symb_begin
x, identifier
:=, simb_atribution
1, num_int
;, simb_semi_colon
while, symb_while
(, open_parentheses
x, identifier
<, op_lesser
3), ERROR(Badly Formed Number)
do, symb_do
x, identifier
:=, simb_atribution
x, identifier
+, op_plus
1, num_int
;, simb_semi_colon
{wedfwdwd}, comment
3333%, ERROR(Badly Formed Number)
333, num_int
{efefweafwefwe, ERROR(Unclosed Comment)
EOF, IT'S OVER ANAKIN! THE PROGRAM WAS TOKENIZED!
